state	_2008
Nationwide	26.6
Alabama	32.2
Alaska	27.1
Arizona	25.6
Arkansas	29.5
California	24.3
Colorado	19.1
Connecticut	21.4
Delaware	27.8
District of Columbia	22.3
Florida	25.2
Georgia	27.8
Guam	27
Hawaii	23.1
Idaho	25.2
Illinois	26.9
Indiana	27
Iowa	26.7
Kansas	28.1
Kentucky	30.3
Louisiana	29
Maine	25.9
Maryland	26.7
Massachusetts	21.5
Michigan	29.5
Minnesota	25.2
Mississippi	33.4
Missouri	29.1
Montana	24.3
Nebraska	27.2
Nevada	25.6
New Hampshire	24.9
New Jersey	23.6
New Mexico	25.7
New York	25.1
North Carolina	29.5
North Dakota	27.8
Ohio	29.3
Oklahoma	31
Oregon	25
Pennsylvania	28.4
Puerto Rico	26.2
Rhode Island	22.1
South Carolina	30.7
South Dakota	28.1
Tennessee	31.2
Texas	28.9
Utah	23.1
Vermont	23.3
Virginia	25.8
Virgin Islands	26.5
Washington	26
West Virginia	31.9
Wisconsin	26.1
Wyoming	25.2
