state	_2004
Nationwide	23.2
Alabama	28.8
Alaska	23.7
Arizona	21.2
Arkansas	26.1
California	22.2
Colorado	16.8
Connecticut	19.7
Delaware	21.1
District of Columbia	22.5
Florida	22.9
Georgia	24.7
Idaho	20.8
Illinois	23
Indiana	25.5
Iowa	23.5
Kansas	23.2
Kentucky	25.8
Louisiana	26.9
Maine	23.4
Maryland	23.9
Massachusetts	18.4
Michigan	25.4
Minnesota	22.6
Mississippi	29.5
Missouri	24.9
Montana	19.7
Nebraska	23.2
Nevada	21.1
New Hampshire	21.6
New Jersey	21.9
New Mexico	21.5
New York	22.1
North Carolina	24.2
North Dakota	24.6
Ohio	25.3
Oklahoma	24.9
Oregon	21.2
Pennsylvania	24.3
Puerto Rico	24.3
Rhode Island	19
South Carolina	25.1
South Dakota	23.8
Tennessee	27.2
Texas	25.8
Utah	20.4
Vermont	18.7
Virginia	23.1
Virgin Islands	23.2
Washington	22.2
West Virginia	27.6
Wisconsin	23.2
Wyoming	20.8
