state	rate
Nationwide	27.6
Alabama	33
Alaska	25.2
Arizona	25.2
Arkansas	30.9
California	24.7
Colorado	21.4
Connecticut	23
Delaware	28.7
District of Columbia	22.4
Florida	27.2
Georgia	30.4
Guam	27.6
Hawaii	23.1
Idaho	26.9
Illinois	28.7
Indiana	30.2
Iowa	29.1
Kansas	30.1
Kentucky	31.8
Louisiana	31.7
Maine	27.4
Maryland	27.9
Massachusetts	23.6
Michigan	31.7
Minnesota	25.4
Mississippi	34.5
Missouri	31.4
Montana	23.5
Nebraska	27.5
Nevada	23.1
New Hampshire	25.5
New Jersey	24.8
New Mexico	25.6
New York	24.5
North Carolina	28.6
North Dakota	27.9
Ohio	29.7
Oklahoma	31.3
Oregon	27.6
Pennsylvania	29.2
Puerto Rico	27.5
Rhode Island	26
South Carolina	32
South Dakota	27.7
Tennessee	31.7
Texas	31.7
Utah	23
Vermont	23.9
Virginia	26.4
Virgin Islands	30
Washington	26.2
West Virginia	32.9
Wisconsin	26.9
Wyoming	25.7
