state	_2000
Nationwide	20.1
Alabama	23.9
Alaska	21
Arizona	19.2
Arkansas	23.3
California	19.9
Colorado	14.2
Connecticut	17.4
Delaware	16.6
District of Columbia	21.5
Florida	18.7
Georgia	21.5
Hawaii	15.7
Idaho	18.9
Illinois	21.7
Indiana	21.8
Iowa	21.5
Kansas	20.8
Kentucky	23
Louisiana	23.6
Maine	20
Maryland	20.2
Massachusetts	16.8
Michigan	22.4
Minnesota	17.4
Mississippi	25
Missouri	22.1
Montana	15.9
Nebraska	21.1
Nevada	17.9
New Hampshire	18.1
New Jersey	18.5
New Mexico	19.3
New York	17.7
North Carolina	21.8
North Dakota	20.4
Ohio	21.5
Oklahoma	19.7
Oregon	21.5
Pennsylvania	21.2
Puerto Rico	21.7
Rhode Island	17.1
South Carolina	22
South Dakota	19.8
Tennessee	22.9
Texas	23.1
Utah	19.1
Vermont	18.2
Virginia	18.2
Washington	18.8
West Virginia	23.2
Wisconsin	20
Wyoming	18
