state	_2006
Nationwide	25.1
Alabama	30.5
Alaska	26.2
Arizona	22.9
Arkansas	26.9
California	23.3
Colorado	18.2
Connecticut	20.6
Delaware	26
District of Columbia	22.5
Florida	23.1
Georgia	27.1
Hawaii	20.6
Idaho	24.1
Illinois	25.1
Indiana	27.8
Iowa	25.7
Kansas	25.9
Kentucky	28
Louisiana	27.1
Maine	23.1
Maryland	24.9
Massachusetts	20.3
Michigan	28.8
Minnesota	24.7
Mississippi	31.4
Missouri	27.2
Montana	21.2
Nebraska	26.9
Nevada	25
New Hampshire	22.4
New Jersey	22.6
New Mexico	22.9
New York	22.9
North Carolina	26.6
North Dakota	25.4
Ohio	28.4
Oklahoma	28.8
Oregon	24.8
Pennsylvania	24
Puerto Rico	24.7
Rhode Island	21.4
South Carolina	29.4
South Dakota	25.4
Tennessee	28.8
Texas	26.1
Utah	21.9
Vermont	21.2
Virginia	25.1
Virgin Islands	26.1
Washington	24.2
West Virginia	31
Wisconsin	26.6
Wyoming	23.3
