state	rate
Nationwide	19.8
Alabama	22.4
Alaska	20.4
Arizona	12.3
Arkansas	22.7
California	18.7
Colorado	14.9
Connecticut	15.1
Delaware	17.5
District of Columbia	18.5
Florida	18.6
Georgia	21.1
Hawaii	15.7
Idaho	20
Illinois	20.9
Indiana	19.9
Iowa	21.5
Kansas	18.9
Kentucky	21.7
Louisiana	22.3
Maine	19.4
Maryland	18.2
Massachusetts	14.7
Michigan	22.8
Minnesota	15.5
Mississippi	23.2
Missouri	21.7
Montana	15.8
Nebraska	21
Nevada	15.8
New Hampshire	14.6
New Jersey	17
New Mexico	17.7
New York	17.4
North Carolina	21.5
North Dakota	21.9
Ohio	20.3
Oklahoma	21.1
Oregon	19.9
Pennsylvania	20.3
Puerto Rico	21.3
Rhode Island	16.8
South Carolina	20.6
South Dakota	19.6
Tennessee	20.5
Texas	21.6
Utah	16.7
Vermont	18
Virginia	19.3
Washington	18.2
West Virginia	24.6
Wisconsin	19.9
Wyoming	16.9
