state	_1998
Nationwide	18.3
Alabama	21.3
Alaska	21.4
Arizona	13.1
Arkansas	19.8
California	17.3
Colorado	14.4
Connecticut	15.5
Delaware	17.2
District of Columbia	20.2
Florida	18
Georgia	19.2
Hawaii	15.5
Idaho	16.4
Illinois	18.5
Indiana	19.9
Iowa	19.8
Kansas	17.7
Kentucky	20.4
Louisiana	21.8
Maine	17.4
Maryland	20.5
Massachusetts	14.3
Michigan	21.2
Minnesota	16.2
Mississippi	22.8
Missouri	20.5
Montana	15
Nebraska	18.3
Nevada	14
New Hampshire	15.6
New Jersey	15.5
New Mexico	15.2
New York	16.3
North Carolina	19.4
North Dakota	19.2
Ohio	20
Oklahoma	19.5
Oregon	18.3
Pennsylvania	19.4
Puerto Rico	19.3
Rhode Island	16.8
South Carolina	20.6
South Dakota	15.8
Tennessee	19.2
Texas	20.2
Utah	15.9
Vermont	14.8
Virginia	18.7
Washington	18.1
West Virginia	23.9
Wisconsin	18.3
Wyoming	15.1
