state	_1997
Nationwide	16.6
Alabama	18.2
Alaska	19.7
Arizona	12.4
Arkansas	18.1
California	16
Colorado	11.8
Connecticut	14.7
Delaware	18.8
District of Columbia	14.5
Florida	16.1
Georgia	14.4
Hawaii	13.6
Idaho	16.3
Illinois	17.1
Indiana	21.2
Iowa	19.4
Kansas	14.7
Kentucky	21.8
Louisiana	19.6
Maine	16.2
Maryland	17.5
Massachusetts	14.8
Michigan	19.3
Minnesota	16.5
Mississippi	22
Missouri	19.1
Montana	14.6
Nebraska	17
Nevada	14.1
New Hampshire	14.2
New Jersey	16
New Mexico	14.9
New York	16
North Carolina	18.3
North Dakota	17
Ohio	17.7
Oklahoma	15.1
Oregon	19.4
Pennsylvania	17.5
Puerto Rico	19
Rhode Island	13.8
South Carolina	16.9
South Dakota	17
Tennessee	17.7
Texas	18.7
Utah	15.2
Vermont	15.9
Virginia	16.4
Washington	15.2
West Virginia	20.6
Wisconsin	16.6
Wyoming	15
