state	rate
Nationwide	24.4
Alabama	28.9
Alaska	27.4
Arizona	21.1
Arkansas	28
California	22.7
Colorado	17.8
Connecticut	20.1
Delaware	23.5
District of Columbia	21.7
Florida	22.8
Georgia	26.5
Hawaii	19.7
Idaho	24.5
Illinois	25.1
Indiana	27.2
Iowa	25.4
Kansas	23.9
Kentucky	28.6
Louisiana	30.8
Maine	22.7
Maryland	24.4
Massachusetts	20.7
Michigan	26.2
Minnesota	23.7
Mississippi	30.9
Missouri	26.9
Montana	21.3
Nebraska	26
Nevada	21.2
New Hampshire	23.1
New Jersey	22.1
New Mexico	21.7
New York	22.2
North Carolina	25.9
North Dakota	25.4
Ohio	24.3
Oklahoma	26.8
Oregon	23.8
Pennsylvania	25.3
Puerto Rico	23.7
Rhode Island	21
South Carolina	29.1
South Dakota	25.5
Tennessee	27.4
Texas	27
Utah	21.2
Vermont	20.2
Virginia	25.1
Virgin Islands	25.6
Washington	23.3
West Virginia	30.6
Wisconsin	24.4
Wyoming	24.2
