state	_2003
Nationwide	22.8
Alabama	28.4
Alaska	23.5
Arizona	20.1
Arkansas	25.2
California	23.2
Colorado	16
Connecticut	19.1
Delaware	24
District of Columbia	20.3
Florida	19.9
Georgia	25.2
Guam	21.9
Hawaii	16.4
Idaho	21.8
Illinois	23.7
Indiana	26
Iowa	23.9
Kansas	22.6
Kentucky	25.6
Louisiana	24.8
Maine	19.9
Maryland	21.9
Massachusetts	16.8
Michigan	25.2
Minnesota	23
Mississippi	28.1
Missouri	23.6
Montana	18.8
Nebraska	23.9
Nevada	21.2
New Hampshire	20.2
New Jersey	20.1
New Mexico	20.2
New York	20.9
North Carolina	24
North Dakota	23.7
Ohio	24.9
Oklahoma	24.4
Oregon	21.5
Pennsylvania	23.8
Puerto Rico	22.9
Rhode Island	18.4
South Carolina	24.5
South Dakota	22.9
Tennessee	25
Texas	24.6
Utah	20.8
Vermont	19.6
Virginia	21.7
Virgin Islands	22
Washington	21.7
West Virginia	27.7
Wisconsin	20.9
Wyoming	20.1
