state	_1995
Nationwide	15.9
Alabama	18.7
Alaska	19.8
Arizona	13.3
Arkansas	17.5
California	15.1
Colorado	10.1
Connecticut	12.5
Delaware	17.1
Florida	17.2
Georgia	13.3
Hawaii	10.8
Idaho	14.2
Illinois	16.7
Indiana	20.1
Iowa	17.5
Kansas	15.9
Kentucky	16.9
Louisiana	17.7
Maine	14.1
Maryland	16.3
Massachusetts	11.7
Michigan	18.2
Minnesota	15.3
Mississippi	19.5
Missouri	18.9
Montana	13.4
Nebraska	16.3
Nevada	13.3
New Hampshire	15.1
New Jersey	14.5
New Mexico	13
New York	13.9
North Carolina	16.9
North Dakota	16.4
Ohio	17.5
Oklahoma	13.5
Oregon	15.2
Pennsylvania	16.4
Rhode Island	13.2
South Carolina	16.7
South Dakota	13.9
Tennessee	18.4
Texas	15.9
Vermont	14.6
Virginia	15.7
Washington	13.9
West Virginia	18.3
Wisconsin	16
Wyoming	14.3
