state	rate
Nationwide	27.2
Alabama	31.6
Alaska	25.4
Arizona	25.9
Arkansas	31.5
California	25.5
Colorado	19
Connecticut	21
Delaware	27.6
District of Columbia	20.1
Florida	26.5
Georgia	27.7
Guam	26.8
Hawaii	22.9
Idaho	25.1
Illinois	27.4
Indiana	30
Iowa	28.5
Kansas	28.8
Kentucky	32.4
Louisiana	33.9
Maine	26.4
Maryland	26.8
Massachusetts	21.8
Michigan	30.3
Minnesota	25.4
Mississippi	35.4
Missouri	30.6
Montana	23.7
Nebraska	28.1
Nevada	26.4
New Hampshire	26.3
New Jersey	23.9
New Mexico	25.6
New York	24.6
North Carolina	30.1
North Dakota	28.4
Ohio	29.8
Oklahoma	32
Oregon	23.6
Pennsylvania	28.1
Puerto Rico	27.5
Rhode Island	24.9
South Carolina	30.1
South Dakota	30.3
Tennessee	32.9
Texas	29.5
Utah	24
Vermont	23.4
Virginia	25.5
Virgin Islands	29.6
Washington	26.9
West Virginia	31.7
Wisconsin	29.2
Wyoming	25.4
